N,T,p,chunk,TIME_mean,RSS_mean,TIME_dec_mean,TIME_std,RSS_std,TIME_dec_std,S_pred
500000,4,10,0,0.0131463,1128.8,0.0070798,0.0016867353773883246,36.69937934685605,7.116459794026804e-05,10
500000,4,10,1,0.0038136000000000003,1517.6,0.0028241,0.003053503386821985,801.867154417322,0.0014586627399398701,10
500000,4,10,4,0.0028158,1305.6,0.0023272,0.00010768761406133119,588.6336721595189,0.00010785154405735491,10
500000,4,10,10,0.0027998000000000003,1530.4,0.0023169,0.00017843504887399972,1270.603286282194,0.00018022112960348335,10
500000,4,10,50,0.0028339000000000003,1310.4,0.0023469999999999997,0.00013151379310847124,628.59052207653,0.00013243866504914634,10
500000,6,10,0,0.0028074999999999997,1100.8,0.0023703000000000005,9.854074171517984e-05,43.48384118778428,9.935240309121867e-05,9
500000,6,10,1,0.0028665,1523.6,0.0024268,0.0001283183973992471,833.463349857422,0.00012672261922096713,9
500000,6,10,4,0.0029657000000000004,1667.2,0.0025202999999999996,0.0001342618089157648,959.3827645360786,0.00013223300142803487,7
500000,6,10,10,0.0028592,1140.4,0.0024199,0.00012323762051869998,31.12412426255735,0.00012059431532576031,6
500000,6,10,50,0.0028722000000000005,1538.0,0.0024218000000000004,0.0001431268279844449,828.081048099896,0.00013266231148630295,10
500000,8,10,0,0.007639300000000002,1110.0,0.007185199999999998,0.002388370530066239,40.80304999493161,0.002390870496980824,9
500000,8,10,1,0.008175400000000001,1545.2,0.0077269,0.002249986627120753,1225.5807512268534,0.0022524464946167113,10
500000,8,10,4,0.0091393,1906.8,0.0086864,0.003025750560696561,1348.6744768269489,0.0030294627393135055,10
500000,8,10,10,0.0074050999999999995,1312.8,0.0069573,0.004116129180836448,607.7244989850801,0.0041118336825962856,8
500000,8,10,50,0.007455100000000001,1484.0,0.0070007,0.0015245283751595662,819.2397559797606,0.001527504286227847,9
500000,16,10,0,0.03336589999999999,1912.8,0.019014499999999997,0.014198870608060504,1037.2832892812946,0.0039568393742143914,8
500000,16,10,1,0.0767087,2084.8,0.034905,0.011203166051017304,1032.0203271038588,0.0069605595560510315,5
500000,16,10,4,0.0654982,1729.2,0.032146,0.018991771421679793,992.1326972179119,0.007647115258565009,5
500000,16,10,10,0.0292797,1907.2,0.0173131,0.004844130905883256,1002.0420039987234,0.0037430046887494003,6
500000,16,10,50,0.0303556,1689.6,0.016313600000000004,0.002883870516433697,901.8621722734454,0.0026385762659265908,4
1000000,4,10,0,0.017227600000000003,1531.2,0.0094609,0.0022765599877397867,813.2826213698546,0.0011946786132215176,10
1000000,4,10,1,0.016286000000000002,1307.2,0.009932800000000002,0.0026088723830634394,586.5569594392915,0.002837200960257995,9
1000000,4,10,4,0.0171237,1311.2,0.0091022,0.002183328857501774,629.0813054676548,0.0001803920421994521,10
1000000,4,10,10,0.015298399999999998,1326.4,0.009121,0.001738410206034365,647.9154951757898,0.00020164931054790253,10
1000000,4,10,50,0.016090100000000003,1122.0,0.009054500000000002,0.0021319697960128594,30.3021818063027,0.00019243656963616158,10
1000000,6,10,0,0.036524,2315.6,0.0247931,0.005484679368730481,1339.1253530237977,0.00457146459512096,7
1000000,6,10,1,0.036428300000000004,1879.2,0.0263345,0.005821683453549612,1008.6625688394398,0.005328297502746799,4
1000000,6,10,4,0.0090638,1116.4,0.007287199999999999,0.011170658627752341,47.11970571498369,0.008395553595670614,8
1000000,6,10,10,0.005526499999999999,1338.8,0.0046549,0.00024307029161678044,643.2861468014578,0.00025429792239287633,8
1000000,6,10,50,0.0056534,1292.8,0.0047567,0.0002745461709804017,614.198809651873,0.0002578759607080719,7
1000000,8,10,0,0.0092254,1312.4,0.0083346,0.002239430443463496,585.1205383888387,0.002250382644006224,7
1000000,8,10,1,0.010305200000000002,1344.8,0.009421599999999999,0.0025974633694347943,638.5422286566314,0.0025958432241652125,9
1000000,8,10,4,0.0109645,1308.4,0.010064,0.0025975844869160014,592.5116407670354,0.0026156776899644535,10
1000000,8,10,10,0.011426299999999999,1108.0,0.0105447,0.0021635469360391612,41.569219381653056,0.002171187849491098,9
1000000,8,10,50,0.010401200000000001,1709.2,0.009522300000000001,0.0006919704232600314,933.0972082264527,0.0006820105978322886,10
1000000,16,10,0,0.029086800000000003,2258.8,0.019116100000000004,0.0034129789790022305,979.7342950457991,0.003897232221575831,7
1000000,16,10,1,0.030122299999999998,1895.2,0.0206565,0.0038659674669551413,1042.5299143056866,0.003662741573375514,4
1000000,16,10,4,0.028788799999999996,1694.8,0.0181228,0.003616828500219495,912.1755191725865,0.0042996647621258415,3
1000000,16,10,10,0.030909200000000005,1894.8,0.021830000000000002,0.0035606103346976286,986.4288902681001,0.00415359822590272,8
1000000,16,10,50,0.0298479,2060.4,0.018697300000000004,0.004437704172454741,1003.6226825300876,0.0031054902296846253,4
5000000,4,10,0,0.025913600000000002,1147.2,0.021174199999999997,0.000690384466157163,34.29544835364859,0.0006464918664092635,10
5000000,4,10,1,0.025948099999999995,1127.2,0.021100499999999998,0.0008026596691278591,37.84412474582783,0.0008341076735716512,10
5000000,4,10,4,0.024300000000000006,1126.8,0.0194638,0.004701200579521033,47.81631520725954,0.0047773887056052336,10
5000000,4,10,10,0.026553100000000003,1325.2,0.0217344,0.0004817932820895977,648.8555394778649,0.0004966349430584468,10
5000000,4,10,50,0.026431,1114.4,0.0216119,0.00042305292550433657,48.66940631558095,0.00047686882659467034,10
5000000,6,10,0,0.0263069,1300.0,0.021828900000000002,0.0007632189797896217,639.1716862036712,0.0007168924373060902,10
5000000,6,10,1,0.0265153,1127.6,0.022026599999999997,0.00098266949909135,65.8199564468609,0.0009637127511176071,10
5000000,6,10,4,0.026407800000000002,1127.2,0.0220202,0.0010900287254115013,37.937961053394645,0.0011031168770553935,10
5000000,6,10,10,0.0267115,1338.8,0.0223631,0.0007041299201457386,618.1263445103904,0.0006241441161925485,10
5000000,6,10,50,0.0266169,1122.0,0.022224400000000002,0.0011641021766914531,53.93823628311676,0.0010668579203540756,10
5000000,8,10,0,0.03184,1319.6,0.027466599999999997,0.0008198125802076157,582.629899679033,0.0008300159570085926,10
5000000,8,10,1,0.0323935,1114.8,0.028031,0.0018209144985723825,37.4782900119819,0.0019078256966738045,10
5000000,8,10,4,0.031066700000000003,1326.0,0.026678,0.0023172090516155176,625.2700749809371,0.0024069361344987027,10
5000000,8,10,10,0.031277599999999996,1331.6,0.0268869,0.0013618064146974458,645.0369842971107,0.001349068851714644,10
5000000,8,10,50,0.0314942,1320.0,0.027196599999999998,0.00086808138379353,651.1883154834876,0.0008345504711453278,10
5000000,16,10,0,0.0587403,1971.6,0.0386674,0.02131722940122483,939.6613101419988,0.009495630670062006,9
5000000,16,10,1,0.0873852,2514.4,0.0530691,0.009080417205295262,1633.6137990493482,0.004826758388861456,9
