N,T,p,umbral,chunk,TIME_mean,RSS_mean,TIME_dec_mean,desv_mean,desbalanceos_mean,TIME_std,RSS_std,TIME_dec_std,desv_std,desbalanceos_std,S_pred
100,2,10,10,1,4.7e-05,1114.8,4.08e-05,1.16388513e-08,28.07706948443613,4.760952285695233e-06,73.82983437909397,4.825856285561029e-06,4.469906427783349e-09,9.064837320344237,0
100,2,10,10,4,4.18e-05,1148.4,3.79e-05,4.19812511e-08,42.150899696362586,3.5839146815241634e-06,45.54655737691806,3.7549966711037183e-06,1.646786040848768e-08,12.192733410659025,0
100,2,10,10,10,3.87e-05,1114.8,3.54e-05,0.0,0.0,3.2676869155073254e-06,48.663926863517474,3.0983866769659324e-06,0.0,0.0,10
100,2,10,10,50,3.81e-05,1116.0,3.5e-05,0.0,0.0,2.601281735350223e-06,48.84442422403787,2.449489742783179e-06,0.0,0.0,10
100,2,10,25,1,4.57e-05,1134.4,4.05e-05,1.25910286e-08,29.477291039047838,9.956014374347911e-06,50.63858871124536,9.20446751432272e-06,4.522518083633551e-09,9.154781303253138,3
100,2,10,25,4,4.15e-05,1140.8,3.79e-05,3.8950907799999996e-08,40.821629662278745,3.1358146203711302e-06,53.15971741418078,2.884826203122507e-06,1.162906301241686e-08,9.226143818211263,0
100,2,10,25,10,4.04e-05,1116.0,3.73e-05,0.0,0.0,2.9888682361946535e-06,65.78078071223472,2.8303906287138378e-06,0.0,0.0,10
100,2,10,25,50,4.16e-05,1115.6,3.87e-05,0.0,0.0,4.402019738458448e-06,35.99753077951628,4.47337804249888e-06,0.0,0.0,10
100,2,10,50,1,6.87e-05,1325.2,6.55e-05,1.19339751e-08,28.73084933503031,8.519657009267191e-05,602.7818474004965,8.527243921038549e-05,3.5856067802779506e-09,7.424809381026385,10
100,2,10,50,4,4.3100000000000004e-05,1135.2,3.9999999999999996e-05,3.7797294999999996e-08,39.745471196282324,3.1073389830457113e-06,41.81653049001342,2.9814239699997195e-06,9.135665415585154e-09,5.546318488801878,10
100,2,10,50,10,3.87e-05,1075.6,3.57e-05,0.0,0.0,2.3118054512532938e-06,70.74084157448699,2.1108186931983426e-06,0.0,0.0,10
100,2,10,50,50,4.04e-05,1107.6,3.77e-05,0.0,0.0,4.948624949305502e-06,54.10935429500358,4.877385456255111e-06,0.0,0.0,10
100,2,10,100,1,4.15e-05,1088.8,3.8e-05,1.11813543e-08,26.891250806536828,1.7795130420052172e-06,45.91005699553566,1.6996731711975963e-06,3.4328353791966215e-09,7.116690610752864,10
100,2,10,100,4,4.51e-05,1141.6,4.1400000000000003e-05,3.6303587799999996e-08,38.424777244598,5.9151406482761586e-06,32.06659736652248,5.399588461684423e-06,1.2294200031639407e-08,10.042564631647764,10
100,2,10,100,10,4.56e-05,1128.8,4.1400000000000003e-05,0.0,0.0,2.2705848487901865e-06,35.915951268977345,2.319003617456811e-06,0.0,0.0,10
100,2,10,100,50,4.57e-05,1101.2,4.1400000000000003e-05,0.0,0.0,3.5292429153510456e-06,71.35638256899892,2.4585451886114374e-06,0.0,0.0,10
100,2,10,1000,1,4.18e-05,1108.0,3.86e-05,1.06335955e-08,25.490865625857126,4.1041983924323685e-06,59.53896949804295,4.351245032554859e-06,3.776979290295391e-09,8.314907652174305,10
100,2,10,1000,4,4.09e-05,1100.8,3.8e-05,3.27166927e-08,35.81319894074713,2.131770260709264e-06,56.05711373233552,2.0000000000000003e-06,8.284580040485417e-09,7.794279014801207,10
100,2,10,1000,10,3.98e-05,1102.4,3.65e-05,0.0,0.0,3.6147844564602557e-06,62.259671270146185,3.3416562759605705e-06,0.0,0.0,10
100,2,10,1000,50,4.02e-05,1134.8,3.74e-05,0.0,0.0,3.7058512292499463e-06,43.371265449219564,3.7475918193480518e-06,0.0,0.0,10
100,4,10,10,1,7.91e-05,1098.8,7.21e-05,9.5768579e-09,23.300708721992045,3.3813212407775365e-06,89.5033208570746,2.884826203122506e-06,2.348871753779175e-09,4.998277842525242,0
100,4,10,10,4,8.06e-05,1080.8,7.54e-05,2.40620947e-08,27.42313788873245,1.3599019572503504e-05,69.66076530029096,1.2518430856585467e-05,1.185352058649194e-08,10.344112836550286,0
100,4,10,10,10,0.00011779999999999999,1306.0,0.0001139,0.0,0.0,6.930736693246333e-05,566.5780322838741,6.925708948869021e-05,0.0,0.0,10
100,4,10,10,50,8.779999999999999e-05,1094.4,8.43e-05,0.0,0.0,2.529822128134703e-06,57.756577307023846,2.263232692902393e-06,0.0,0.0,10
100,4,10,25,1,9.3e-05,1116.0,8.64e-05,1.2395129000000001e-08,29.60443470599667,3.3993463423951883e-06,58.93876294746759,2.8751811537130422e-06,4.209632987332163e-09,9.127253350855526,3
100,4,10,25,4,9.35e-05,1147.6,8.85e-05,4.25296081e-08,42.93693473659455,4.994441354590564e-06,33.96468754456605,4.813176359397883e-06,1.55651080557182e-08,11.943095106465684,1
100,4,10,25,10,9.07e-05,1114.4,8.62e-05,0.0,0.0,3.8020462326957e-06,59.81304205605998,3.6453928305312844e-06,0.0,0.0,10
100,4,10,25,50,8.92e-05,1107.6,8.54e-05,0.0,0.0,4.1579909678700475e-06,28.437846456985998,4.247875285886398e-06,0.0,0.0,10
100,4,10,50,1,9.37e-05,1126.4,8.88e-05,1.84884819e-08,39.017926684214565,7.11883261341196e-06,66.85839098007402,6.8605150438335645e-06,1.494027976679933e-08,24.665455705189913,8
100,4,10,50,4,8e-05,1096.8,7.58e-05,3.48353762e-08,36.39954168417258,7.363574011458173e-06,64.90471648672555,6.528569691917383e-06,1.4683038603828007e-08,12.493924067650275,9
100,4,10,50,10,7.53e-05,1102.0,7.11e-05,0.0,0.0,5.888784066153028e-06,44.07065034943576,5.279941077112299e-06,0.0,0.0,10
100,4,10,50,50,7.59e-05,1135.6,7.27e-05,0.0,0.0,5.173651192984185e-06,41.631184892524445,5.3343748982946035e-06,0.0,0.0,10
100,4,10,100,1,8.109999999999999e-05,1127.6,7.76e-05,1.11101167e-08,26.488789329619294,1.6953858951086424e-05,66.70532212649901,1.6701297354796525e-05,3.702604635288157e-09,7.840112702048582,10
100,4,10,100,4,7.48e-05,1100.4,7.14e-05,3.23153242e-08,35.41320091384027,4.962078417580906e-06,82.91253758563231,5.146735750831675e-06,1.0673992317281652e-08,8.303843512739952,10
100,4,10,100,10,7.57e-05,1100.8,7.23e-05,0.0,0.0,5.869885480616769e-06,76.17056882783241,5.677440737985148e-06,0.0,0.0,10
100,4,10,100,50,7.46e-05,1129.2,7.14e-05,0.0,0.0,3.8064273129653855e-06,46.839679285361846,3.62705880232945e-06,0.0,0.0,10
100,4,10,1000,1,7.57e-05,1127.6,7.19e-05,1.00279716e-08,24.278782884746448,2.9832867780352607e-06,46.473887530765296,2.846049894151542e-06,2.9257742438096314e-09,6.483202574441922,10
100,4,10,1000,4,7.46e-05,1101.6,7.1e-05,3.94598021e-08,41.86781778266893,4.452215428550401e-06,61.512780966415605,4.6666666666666655e-06,1.0898752185260205e-08,7.541857007634516,10
100,4,10,1000,10,7.549999999999999e-05,1106.0,7.219999999999999e-05,0.0,0.0,2.990726407487725e-06,45.067850083081524,3.155242550986464e-06,0.0,0.0,10
100,4,10,1000,50,7.24e-05,1108.8,6.93e-05,0.0,0.0,2.9514591494904892e-06,50.41340209816345,2.668749186833078e-06,0.0,0.0,10
100,6,10,10,1,0.0001606,1279.2,0.0001494,8.988107e-09,22.258073651696943,8.812012003824981e-05,574.9799610034732,8.78435477931583e-05,2.8043445857818936e-09,6.3316795800188865,0
100,6,10,10,4,0.0001265,1121.2,0.0001177,3.88254546e-08,40.29365851346515,3.566822426505447e-06,53.40162294662339,3.5292429153510477e-06,1.3499755647911206e-08,10.555775503324314,0
100,6,10,10,10,0.0001228,1147.6,0.0001157,0.0,0.0,3.7653389990514537e-06,47.979625305377745,3.4334951418181587e-06,0.0,0.0,10
100,6,10,10,50,0.0001216,1094.4,0.0001147,0.0,0.0,5.125101625008686e-06,71.43481877441374,4.9001133773731295e-06,0.0,0.0,10
100,6,10,25,1,0.0001286,1134.4,0.0001188,1.17744448e-08,28.11585900291547,5.641118880348312e-06,52.93853878686952,4.516635916254482e-06,2.479383399252627e-09,5.128080397849764,3
100,6,10,25,4,0.000127,1114.0,0.00011850000000000001,3.8353588e-08,39.446454559663515,5.354126134736334e-06,66.85972047669824,5.380004130522988e-06,1.542279201687682e-08,12.839901110679806,1
100,6,10,25,10,0.0001231,1115.2,0.0001164,0.0,0.0,5.384133067531753e-06,66.07201458341581,5.189733454940952e-06,0.0,0.0,10
100,6,10,25,50,0.0001248,1080.4,0.0001179,0.0,0.0,5.633234713140698e-06,63.929127425089526,5.065131346328105e-06,0.0,0.0,10
100,6,10,50,1,0.00012660000000000001,1114.0,0.00011850000000000001,1.17506459e-08,27.97139178858914,4.115013163202922e-06,58.704533234003506,4.2491829279939876e-06,2.0090277970999608e-09,4.491880591251257,10
