N,T,p,umbral,chunk,TIME_mean,RSS_mean,TIME_dec_mean,desv_mean,desbalanceos_mean,TIME_std,RSS_std,TIME_dec_std,desv_std,desbalanceos_std,S_pred
100,2,10,10,1,5.03e-05,1140.4,4.21e-05,1.682529185e-07,135.0438551099026,5.598610938835136e-06,53.314996847874696,5.743595467030115e-06,1.6472283959444077e-08,9.791189240844005,0
100,2,10,10,4,4.51e-05,1122.8,3.93e-05,2.475455402e-07,52.193406494104,4.771442828607158e-06,60.84004529182331,4.423422506008969e-06,4.239376532442925e-08,5.36721461449356,0
100,2,10,10,10,4.08e-05,1076.0,3.6400000000000004e-05,0.0,0.0,3.224903099319419e-06,68.40402847136352,3.4705106892854325e-06,0.0,0.0,10
100,2,10,10,50,4.1400000000000003e-05,1116.4,3.72e-05,0.0,0.0,6.883151732874831e-06,63.53861468080301,7.02060459568041e-06,0.0,0.0,10
100,2,10,25,1,4.38e-05,1110.4,3.68e-05,1.39142673e-07,122.09262847457832,1.8135294011647254e-06,58.64241923158809,1.686548085423137e-06,1.3351387399519207e-08,10.58536177564182,0
100,2,10,25,4,4.1700000000000004e-05,1109.6,3.67e-05,2.169981599e-07,49.24421915831347,2.62678510731274e-06,59.90214242134138,2.9078437983419186e-06,1.6110056148381053e-08,3.3836580494023467,0
100,2,10,25,10,4.17e-05,1102.4,3.71e-05,0.0,0.0,2.584139659108573e-06,60.375123648366596,2.6853512081497124e-06,0.0,0.0,10
100,2,10,25,50,3.94e-05,1134.8,3.52e-05,0.0,0.0,1.8973665961010286e-06,49.96176315721632,1.7511900715418255e-06,0.0,0.0,10
100,2,10,50,1,4.49e-05,1110.0,3.8e-05,1.333702947e-07,116.44537611274191,3.3149493041204866e-06,39.38414796731181,3.651483716701108e-06,4.096241131035162e-09,5.089299663914748,0
100,2,10,50,4,4.12e-05,1115.6,3.63e-05,2.113636582e-07,48.776183495334614,2.6161889160464776e-06,55.823531477923055,2.6687491868330792e-06,2.1794463005847838e-08,3.791238456789396,5
100,2,10,50,10,4.0600000000000004e-05,1110.0,3.61e-05,0.0,0.0,2.9135697844549545e-06,50.74555262396017,2.8460498941515425e-06,0.0,0.0,10
100,2,10,50,50,4e-05,1109.2,3.55e-05,0.0,0.0,2.624669291337271e-06,40.532017522502436,2.838231060987734e-06,0.0,0.0,10
100,2,10,100,1,4.35e-05,1148.8,3.64e-05,1.393652214e-07,118.89621835945896,1.9002923751652305e-06,32.920105305623395,1.955050439815358e-06,6.504644740330474e-09,6.73814225838597,0
100,2,10,100,4,4.37e-05,1124.0,3.89e-05,2.203974873e-07,47.948392093516574,3.2335051500740733e-06,79.82202425117741,3.071373199943852e-06,2.658128884057999e-08,6.895664422639267,10
100,2,10,100,10,4.1e-05,1109.2,3.62e-05,0.0,0.0,3.0550504633038936e-06,49.96176315721632,3.04776785350999e-06,0.0,0.0,10
