N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
1000,2,dynamic,10,5.9000000000000004e-05,1116.8,5.497474167490212e-06,47.13290900327617
1000,2,dynamic,50,5.759999999999999e-05,1127.6,6.1137368096588676e-06,56.92724401471681
1000,4,static,0,8.740000000000001e-05,1122.4,3.3399933466334273e-06,42.71663740407373
1000,4,static,1,9.24e-05,1110.4,2.7968235951204034e-06,50.84879546262625
1000,4,static,4,8.949999999999998e-05,1127.2,3.9228674319799395e-06,47.73258844856415
1000,4,static,10,8.99e-05,1129.2,4.931756504757937e-06,46.839679285361846
1000,4,static,50,8.63e-05,1122.4,5.396500923952688e-06,59.90214242134138
1000,4,dynamic,0,0.0001252,1128.8,4.0496913462633156e-06,56.78184373351906
1000,4,dynamic,1,0.0001272,1130.0,4.2110964526276705e-06,55.59376463837169
1000,4,dynamic,4,9.16e-05,1090.8,3.5339622081862855e-06,54.16189722591991
1000,4,dynamic,10,8.609999999999999e-05,1110.0,3.478505426185218e-06,50.18189137749017
1000,4,dynamic,50,8.5e-05,1134.8,2.3570226039551575e-06,59.33108609976542
1000,6,static,0,0.00011610000000000002,1134.4,4.840798832148814e-06,51.19722214686609
1000,6,static,1,0.0001262,1091.6,3.6453928305312852e-06,45.58557276644053
1000,6,static,4,0.0001408,1293.6,6.134021700501412e-05,567.884808350739
1000,6,static,10,0.00011449999999999999,1129.2,4.062019202317981e-06,46.839679285361846
1000,6,static,50,0.00011550000000000002,1097.6,4.813176359397882e-06,68.07055163578447
1000,6,dynamic,0,0.00016250000000000002,1109.2,7.749551958375117e-06,66.1325268768033
1000,6,dynamic,1,0.00017710000000000002,1287.6,6.089781970189445e-05,568.7864664744094
1000,6,dynamic,4,0.00012630000000000003,1108.8,4.398231968012198e-06,66.0451024342877
1000,6,dynamic,10,0.00011839999999999999,1110.4,5.189733454940951e-06,58.64241923158809
1000,6,dynamic,50,0.0001183,1129.6,4.5472824607426564e-06,64.19968847276442
1000,8,static,0,0.0001462,1064.8,4.638007234913621e-06,69.81372039617682
1000,8,static,1,0.00015049999999999997,1089.2,4.3779751788545646e-06,76.38615348637765
1000,8,static,4,0.0006816999999999999,1312.8,0.001690878276057873,579.2985797017325
1000,8,static,10,0.0001471,1123.6,6.3324560795950275e-06,67.05089277721977
1000,8,static,50,0.00014560000000000002,1129.2,3.835506630304672e-06,56.72702667649306
1000,8,dynamic,0,0.0001896,1103.6,1.1167412910388471e-05,74.271573745725
1000,8,dynamic,1,0.0002954,1103.6,0.0003586348189082222,52.23706644817558
1000,8,dynamic,4,0.0001475,1115.2,8.031189202104506e-06,71.02550402652713
1000,8,dynamic,10,0.0001647,1306.8,6.308028394214964e-05,561.7466411905717
1000,8,dynamic,50,0.0001407,1146.8,3.1640339933558128e-06,32.9336032377604
1000,16,static,0,0.0188026,1089.2,0.007649046915211797,62.908752261597996
1000,16,static,1,0.022264100000000002,1116.4,0.009604360079903526,64.86772866550996
1000,16,static,4,0.024323900000000002,1128.8,0.010619895881996418,48.10359191947682
1000,16,static,10,0.027168699999999997,1153.6,0.011375233917497158,32.94169934225549
1000,16,static,50,0.030944199999999998,1286.8,0.009692135274426259,590.97824739062
1000,16,dynamic,0,0.0211334,1095.6,0.007929047206316783,61.4911014339112
1000,16,dynamic,1,0.025393199999999998,1292.4,0.009674863798065123,586.1435546576168
