N,T,p,chunk,TIME_mean,RSS_mean,TIME_dec_mean,TIME_std,RSS_std,TIME_dec_std,S_pred
100,4,10,0,0.0016213999999999998,2290.4,0.0001591,1.004655828298097e-05,66.91155024026537,9.7119628408588e-06,10
100,4,10,1,0.0016121,2210.0,0.00014989999999999998,1.2260596324087274e-05,70.43357785097169,1.1149987543590447e-05,9
100,4,10,4,0.0016066000000000001,2257.6,0.0001441,5.103375789067906e-06,94.96104464463309,4.2282121254470854e-06,10
100,4,10,10,0.0021158,2248.4,0.0006514,0.0016008951523722248,80.80594037569267,0.0016027916063335661,9
100,4,10,50,0.0045337,2254.4,0.0030675,0.002527241185781664,108.68425215580528,0.002531853087277292,10
100,6,10,0,0.022718000000000002,2908.0,0.015227200000000001,0.015069437105169744,1006.5739471648922,0.010973817048876941,6
100,6,10,1,0.0250535,2443.6,0.015922299999999997,0.021305206751454496,632.274061534149,0.014365327254268251,8
100,6,10,4,0.0209877,2422.0,0.0141569,0.017845209254711596,672.6299956968252,0.012949598581938103,7
100,6,10,10,0.040302700000000004,2478.4,0.027505,0.014311232558534028,626.9508575460901,0.010514064252757404,4
100,6,10,50,0.022359900000000002,2466.8,0.0143955,0.018340679088663357,611.6674477742515,0.012579800194933323,7
100,8,10,0,0.025254400000000003,2842.8,0.0159782,0.013543518385806055,983.804949051273,0.009129234795729354,5
100,8,10,1,0.0135851,2686.4,0.0091822,0.0038263622831904223,856.2848954770966,0.005062071201044533,5
100,8,10,4,0.023494700000000004,2717.2,0.0163389,0.011159518608195725,861.4428206987004,0.008372905395779093,3
100,8,10,10,0.013628800000000002,2653.2,0.0092677,0.007591779308348384,886.0058690550532,0.005494170042468248,6
100,8,10,50,0.0338517,2842.8,0.021504600000000002,0.025119764697455978,976.2058981360211,0.016296851878677538,3
200,4,10,0,0.0070019999999999995,3333.6,0.0002751,1.822086715828856e-05,26.61327989306592,5.6065437957206135e-06,0
200,4,10,1,0.006997399999999999,3305.6,0.0002758,1.409649286564249e-05,101.8094079913814,5.181162460726792e-06,0
200,4,10,4,0.0070001,3314.8,0.00027330000000000003,1.3771548771128127e-05,76.01286440830627,4.498147766951793e-06,0
200,4,10,10,0.006995799999999999,3260.8,0.0002703,1.692992091600612e-05,91.85108721306581,3.4657049948186686e-06,0
200,4,10,50,0.009881400000000002,3528.4,0.0031494,0.002496720435558081,674.3963885497081,0.0024787860469727245,7
200,6,10,0,0.021595200000000002,3733.2,0.0113618,0.012521358044912256,885.9075447120754,0.008919462724227783,3
200,6,10,1,0.012674600000000003,3509.2,0.0054398,0.0026298730091858895,649.312936024602,0.002126743770807068,4
200,6,10,4,0.012416700000000001,3751.6,0.005186399999999999,0.0017833893480299439,860.3636440482594,0.0005507135169739143,2
200,6,10,10,0.016550700000000005,3317.2,0.0081686,0.008224525654001775,73.27391532234829,0.006047767433800123,3
200,6,10,50,0.0361322,3326.0,0.020002399999999997,0.016807896178747523,72.00617257491811,0.009327183643046334,5
200,8,10,0,0.0338943,3961.6,0.0211166,0.01998743426950487,1015.1566053241901,0.013871488281924025,7
200,8,10,1,0.036639000000000005,3524.4,0.021626,0.02458309843955576,678.4595623747798,0.01797422779055241,6
200,8,10,4,0.014622699999999999,3896.4,0.0063663,0.010999000763200668,1006.9349752811472,0.008600859686359524,7
200,8,10,10,0.0335893,4128.4,0.0205961,0.022087339506050872,1053.5855394266234,0.016792338811692273,3
200,8,10,50,0.026910999999999997,3963.2,0.016839700000000003,0.009359775294073868,956.3315092349281,0.0077032140197019925,2
200,16,10,0,0.0474698,4374.8,0.025805,0.028613401389325714,1418.1139900899677,0.014241637366851077,5
200,16,10,1,0.0343242,4317.2,0.018502200000000003,0.009126877168256647,1060.9095468826108,0.007732193275160964,2
200,16,10,4,0.0445822,4943.2,0.023831199999999997,0.023341112668898677,830.7593313750178,0.013005045455087377,1
200,16,10,10,0.06667759999999999,4582.8,0.0335278,0.02265728744282216,1461.4343639041747,0.009170778323930127,5
200,16,10,50,0.0610059,4732.8,0.0289659,0.03179376341517311,1016.2253468377747,0.014871193327668392,3
400,4,10,0,0.07929330000000001,7017.2,0.013500800000000002,0.013547102289993809,52.325477117323594,0.0045899652576753425,2
