N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
100,2,static,0,0.0017513000000000001,2204.4,7.986794656737366e-06,54.07648903790506
100,2,static,1,0.0012064,2210.8,4.526465385804777e-06,74.76303305184395
100,2,static,4,0.0012499000000000002,2225.2,1.1637582795981896e-05,53.101161318123104
100,2,static,10,0.0012999,2204.0,6.297265720577075e-06,67.38282009863082
100,2,static,50,0.0017558,2182.0,1.4830898676599273e-05,81.04319835741924
100,2,dynamic,0,0.0012105,2222.8,7.245688373094745e-06,69.64162229267463
100,2,dynamic,1,0.0012136,2226.0,5.037636129950019e-06,57.81964295212408
100,2,dynamic,4,0.0012465,2219.6,7.12195353974051e-06,59.67169438780091
100,2,dynamic,10,0.0013037999999999997,2229.2,4.442221666388719e-06,83.56607498793328
100,2,dynamic,50,0.0017472999999999998,2226.0,8.233400809440105e-06,69.18574034197124
100,4,static,0,0.0010831000000000003,2206.4,1.1493476410555647e-05,63.36350158674419
100,4,static,1,0.0006793999999999999,2222.8,5.08155706670919e-06,72.39521162802598
100,4,static,4,0.0007297999999999998,2172.8,4.491968140779459e-06,55.06521386299864
100,4,static,10,0.0008401999999999999,2191.2,2.8982753492378703e-06,83.98518387853366
100,4,static,50,0.0017957000000000003,2212.0,5.165053511608338e-06,73.15128919650775
100,4,dynamic,0,0.0006796,2204.0,6.449806198638838e-06,69.9205898780101
100,4,dynamic,1,0.0006802,2200.8,3.6147844564602566e-06,72.11842113265283
100,4,dynamic,4,0.0007294999999999999,2148.4,3.0641293851417097e-06,51.379200287881304
100,4,dynamic,10,0.0008375,2234.0,3.5039660069381245e-06,68.09796864322263
100,4,dynamic,50,0.0017951999999999998,2201.6,1.4006347767272425e-05,67.2824890542356
100,6,static,0,0.0007887999999999999,2229.2,9.964381008817815e-06,67.04028639556964
100,6,static,1,0.0005184,2191.2,4.85798312059646e-06,67.82461041375599
100,6,static,4,0.0005809000000000001,2193.6,1.1994906326344426e-05,65.4339361493713
100,6,static,10,0.0007080000000000001,2233.6,5.656854249492379e-06,80.58011886039606
100,6,static,50,0.0018257,2183.2,8.380532998165075e-06,61.78960718078369
100,6,dynamic,0,0.0005242,2243.2,6.16080802781223e-06,78.92162075263167
100,6,dynamic,1,0.0005206,2250.8,6.310485101972935e-06,77.17339783457336
100,6,dynamic,4,0.0005797,2187.6,6.111010100175301e-06,76.7205607672705
100,6,dynamic,10,0.0007139,2179.6,4.383048152953727e-06,49.51139038421137
100,6,dynamic,50,0.0018193999999999999,2176.4,4.087922591134887e-06,50.471554144664275
100,8,static,0,0.0006623,2173.2,6.583649781424004e-06,59.42090915195126
100,8,static,1,0.00045850000000000003,2202.4,4.90464632318739e-06,74.5999702114924
100,8,static,4,0.0010207999999999999,2222.4,0.0015959749928422368,104.88851224037836
100,8,static,10,0.000655,2220.8,7.257180352359072e-06,82.94147869967648
100,8,static,50,0.0018492,2215.2,5.050852513300236e-06,84.78574303632789
100,8,dynamic,0,0.0004567,2245.2,7.379400758568113e-06,70.32748790875127
100,8,dynamic,1,0.0004577,2238.0,5.375872022286253e-06,54.5934469001953
100,8,dynamic,4,0.0005097999999999999,2192.4,5.9217114643206465e-06,56.73956095862725
100,8,dynamic,10,0.0006483999999999999,2195.6,5.581716183715843e-06,61.606637449042594
100,8,dynamic,50,0.0018574999999999998,2216.8,1.359125535858338e-05,50.30749888877845
100,16,static,0,0.018397999999999994,2198.8,0.008037724664217963,82.88251390438825
100,16,static,1,0.0211048,2400.8,0.007088159701611946,622.8730564444447
100,16,static,4,0.015901500000000002,2236.4,0.005100692224263945,67.71049483729321
100,16,static,10,0.0182999,2208.8,0.005812029449531568,75.7727596904792
100,16,static,50,0.0216878,2172.8,0.00591061925313715,61.29854085629699
100,16,dynamic,0,0.0227187,2244.4,0.012818000095785442,57.61018428484093
100,16,dynamic,1,0.0195484,2225.6,0.006658540417305349,62.28821896813411
