N,T,p,umbral,chunk,TIME_mean,RSS_mean,TIME_dec_mean,desv_mean,desbalanceos_mean,TIME_std,RSS_std,TIME_dec_std,desv_std,desbalanceos_std,S_pred
100,2,10,50,10,0.001339,2274.0,6.71e-05,0.0,0.0,8.931840671316182e-06,105.66614090300324,2.5144029554194815e-06,0.0,0.0,10
100,2,10,50,50,0.0015449,2269.6,6.76e-05,0.0,0.0,2.0856387244412407e-05,98.81430395781102,4.477102237434884e-06,0.0,0.0,10
100,4,10,10,1,0.0009459000000000001,2271.6,0.0003344,1.2845457357999999e-06,48.198064978914694,0.0004951454219609518,78.6203253335647,0.0004824857395704965,8.120706187401527e-09,0.24479872189354496,0
100,4,10,10,4,0.0007331,2267.2,0.0001105,2.8652413667e-06,32.315932949078835,6.556591255285691e-06,89.5380738382654,7.560864148142501e-06,6.435026791350896e-08,0.8683004430067933,0
100,4,10,10,10,0.000891,2484.0,0.0001259,0.0,0.0,6.533843517494972e-05,666.8639708033082,6.543605869685136e-05,0.0,0.0,10
100,4,10,10,50,0.0015704,2254.0,0.0001076,0.0,0.0,7.933053216343225e-06,92.63068845930297,7.560129334578579e-06,0.0,0.0,10
100,4,10,25,1,0.0007041,2294.4,0.0001061,1.2782786245e-06,47.88261430245241,7.950541560869361e-06,81.15170977866086,2.9981475762358478e-06,2.4500891168111592e-08,0.9288717735273448,0
100,4,10,25,4,0.0007276,2259.6,0.0001056,2.9238328188e-06,32.994243825591,2.7568097504180574e-06,81.65945546393674,2.2211108331943606e-06,9.575302211103152e-08,0.9308415317221526,0
100,4,10,25,10,0.0008742,2267.6,0.000106,0.0,0.0,1.497998664885921e-05,77.50440847676559,3.39934634239519e-06,0.0,0.0,10
100,4,10,25,50,0.0015665,2241.6,0.00010290000000000001,0.0,0.0,5.873670062235355e-06,77.31494034143725,2.1832697191750418e-06,0.0,0.0,10
100,4,10,50,1,0.0006991,2236.8,0.0001037,1.2852589318e-06,48.106647552877476,5.466056876558986e-06,71.92094425285462,3.5605867181937577e-06,3.57807551101895e-08,1.0342050697202396,9
100,4,10,50,4,0.0007486,2478.4,0.0001262,2.8832564145e-06,32.47494926090007,6.910893172698044e-05,703.2248257531552,6.848973970197612e-05,6.334922153118927e-08,0.7226869081275861,10
100,4,10,50,10,0.0008879,2453.6,0.0001258,0.0,0.0,6.216188542829121e-05,697.0291242121809,6.207307521515804e-05,0.0,0.0,10
100,4,10,50,50,0.0015748000000000001,2252.4,0.000106,0.0,0.0,1.5732485852881325e-05,72.38047618890977,3.055050463303895e-06,0.0,0.0,10
100,6,10,10,1,0.0005818,2243.6,0.0001624,1.3431924256e-06,49.61505150239213,8.508818954473049e-06,94.928277018904,5.853773711604051e-06,1.9574282918403376e-07,4.432488130430032,0
100,6,10,10,4,0.0006328,2237.6,0.0001672,3.1615795442e-06,34.46138622329715,7.130529043797848e-06,80.09327895231493,7.13052904379783e-06,6.922479459480595e-07,4.706405908296337,0
100,6,10,10,10,0.0007785,2483.2,0.0001732,0.0,0.0,7.864865613035683e-05,688.6271043815287,6.715289354235684e-05,0.0,0.0,10
100,6,10,10,50,0.0016163,2314.0,0.0001507,0.0,0.0,1.09752246243781e-05,92.40009620004612,5.518655230720214e-06,0.0,0.0,10
100,6,10,25,1,0.0005679,2248.8,0.0001506,1.2884514561e-06,48.02128556590277,6.136412270663993e-06,81.81931312349181,5.54176065083211e-06,3.3060910308218374e-08,0.8665004661892501,0
